STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),sizeclas,Size classes in number of employees,indic_em,Employment indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2011-Q3,,2690,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2011-Q4,,2292,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2012-Q1,,2848,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2012-Q2,,2910,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2012-Q3,,2764,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2012-Q4,,2279,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2013-Q1,,2401,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2013-Q2,,2570,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2013-Q3,,2636,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2013-Q4,,2594,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2014-Q1,,3397,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2014-Q2,,3584,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2014-Q3,,3705,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2014-Q4,,3316,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2015-Q1,,4622,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2015-Q2,,4959,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2015-Q3,,4819,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2015-Q4,,4636,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2016-Q1,,5674,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2016-Q2,,5859,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2016-Q3,,5783,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2016-Q4,,5031,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2017-Q1,,5873,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2017-Q2,,6285,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2017-Q3,,6448,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2017-Q4,,5780,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2018-Q1,,6468,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2018-Q2,,7455,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2018-Q3,,7539,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2018-Q4,,7305,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2019-Q1,,7297,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2019-Q2,,7661,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2019-Q3,,7496,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2019-Q4,,6899,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2020-Q1,,7858,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2020-Q2,,6044,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2020-Q3,,6695,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2020-Q4,,6579,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2021-Q1,,7239,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2021-Q2,,8765,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2021-Q3,,9893,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2021-Q4,,10304,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2022-Q1,,11053,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2022-Q2,,12879,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2022-Q3,,13030,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2022-Q4,,11876,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2023-Q1,,10692,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2023-Q2,,9516,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2023-Q3,,9016,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2023-Q4,,7471,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2024-Q1,,7292,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2024-Q2,,7722,,,,,
